write_millis,ecu_millis,breakout_millis,gps_millis,imu_millis,accel_millis,analogx1_millis,analogx2_millis,analogx3_millis,thermo_millis,rpm,time,syncloss_count,syncloss_code,lat,lon,elev,unixtime,ground_speed,afr,fuelload,spark_advance,baro,map,mat,clnt_temp,tps,batt,oil_press,ltcl_timing,ve1,ve2,egt,maf,in_temp,ax,ay,az,imu_x,imu_y,imu_z,susp_pot_1_FL,susp_pot_2_FR,susp_pot_4_RL,susp_pot_3_RR,oil_temp,amb_air_temp,brake1,brake2,rad_in,rad_out,steering,thermo_1,thermo_2,thermo_3,thermo_4
1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1784,0,0,0,1743,1743,1745,1745,1745,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-0.165,-9.826,-0.042,-0.04,0.172,0,0,0.1755353829178996,0.800880184562917,0.384,0,-625,-625,285.60340296646024,286.57774709367067,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1821,0,0,0,1771,1771,1773,1773,1773,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.201,-9.79,-0.115,0.027,0.089,0,0,0.2013955062941973,0.8000965444606049,0.422,0,-625,-625,279.3397621486793,281.28845040310006,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1856,0,0,0,1799,1799,1788,1788,1788,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-0.186,-9.862,0.019,-0.14,-0.006,0,0,0.2013955062941973,0.800880184562917,0.43,0,-625,-625,277.25188187608563,279.0613781123335,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1886,0,0,1823,1834,1834,1823,1823,1823,0,0,0,0,0,0,0,0,2020-08-02T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107,-0.186,-9.797,-0.051,-0.112,0,0,0,0.19434274537338886,0.800880184562917,0.407,0,-625,-625,275.99915371252945,278.22622600329606,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1914,0,0,1861,1872,1872,1875,1875,1875,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-0.237,-9.783,0.059,0.061,-0.119,0,0,0.19826094588494914,0.800880184562917,0.419,0,-625,-625,272.65854527637964,275.164001603492,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1942,0,0,1861,1901,1901,1903,1903,1903,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-0.294,-9.804,0.004,0.138,0.01,0,0,0.21550102813581426,0.800880184562917,0.442,0,-625,-625,269.039552803884,271.68420114916927,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2151,0,0,1861,1929,1929,1931,1931,1931,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-0.237,-9.732,0.038,0.042,-0.046,0,0,0.22647198956818296,0.800880184562917,0.452,0,-625,-625,265.83813638590703,268.6219767493653,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2179,0,0,2065,2138,2138,2140,2140,2140,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.272,-9.711,0.091,-0.019,-0.008,0,0,0.20688098701038168,0.800880184562917,0.442,0,-625,-625,264.0286401496592,266.25571244042584,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2216,0,0,2065,2166,2166,2168,2168,2168,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.172,-9.804,-0.017,-0.008,-0.04,0,0,0.2209865088519986,0.800880184562917,0.455,0,-625,-625,261.3839918043739,264.0286401496592,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2246,0,0,2065,2194,2194,2183,2183,2183,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-0.229,-9.818,0.036,-0.049,0.019,0,0,0.2225537890566227,0.800880184562917,0.446,0,-625,-625,260.40964767716355,263.4718720769676,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2274,0,0,2221,2232,2232,2235,2235,2235,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-0.158,-9.818,0.074,-0.017,0.072,0,0,0.21315010782887808,0.800880184562917,0.441,0,-625,-625,259.8528796044719,263.1934880406218,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2302,0,0,2221,2261,2261,2263,2263,2263,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,-0.201,-9.818,-0.006,-0.063,0.036,0,0,0.22568834946587094,0.800880184562917,0.457,0,-625,-625,257.90419135005124,261.24479978620104,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2330,0,0,2221,2289,2289,2291,2291,2291,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,-0.208,-9.804,0,-0.08,-0.057,0,0,0.23352475048899143,0.800880184562917,0.466,0,-625,-625,256.2338871319763,259.5744955681261,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2533,0,0,2221,2317,2317,2319,2319,2319,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.158,-9.854,0.176,-0.044,-0.01,0,0,0.23822659110286376,0.800880184562917,0.469,0,-625,-625,254.98115896842006,258.18257538639705,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2561,0,0,2374,2512,2511,2495,2495,2495,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.244,-9.811,0.027,0.074,0.006,0,0,0.19669366568032504,0.800880184562917,0.428,0,-625,-625,258.18257538639705,260.8272237316823,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2592,0,0,2536,2547,2547,2550,2550,2550,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-0.272,-9.754,0.017,0.068,-0.029,0,0,0.19904458598726116,0.800880184562917,0.424,0,-625,-625,258.18257538639705,260.8272237316823,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2620,0,0,2536,2579,2579,2581,2581,2581,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-0.244,-9.833,0.004,-0.025,0.072,0,0,0.21393374793119016,0.800880184562917,0.448,0,-625,-625,256.65146318649505,259.15691951360736,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2648,0,0,2536,2607,2607,2609,2609,2609,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.215,-9.811,0.01,-0.019,-0.025,0,0,0.22490470936355889,0.800880184562917,0.463,0,-625,-625,255.120350986593,257.7649993318783,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2672,0,0,2536,2635,2635,2637,2637,2637,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,-0.337,-9.761,0.08,-0.012,0.072,0,0,0.23195747028436733,0.800880184562917,0.469,0,-625,-625,253.8676228230368,256.51227116832206,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2699,0,0,2536,2650,2650,2637,2637,2637,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,-0.165,-9.948,-0.066,-0.061,-0.014,0,0,0.23195747028436733,0.800880184562917,0.469,0,-625,-625,253.8676228230368,256.51227116832206,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2727,0,0,2674,2685,2685,2688,2688,2688,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-0.079,-9.818,0.074,0,0.031,0,0,0.21628466823812628,0.800880184562917,0.448,0,-625,-625,254.70277493207425,257.3474232773595,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2937,0,0,2674,2714,2714,2716,2716,2716,0,0,0,0,0,0,0,0,2020-08-02T00:00:01.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057,-0.064,-9.826,0.112,-0.002,-0.004,0,0,0.22647198956818296,0.800880184562917,0.464,0,-625,-625,253.3108547503452,256.09469511380337,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2965,0,0,2874,2924,2924,2926,2926,2926,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-0.064,-9.905,0.027,0.089,0.127,0,0,0.19669366568032504,0.800880184562917,0.441,0,-625,-625,257.7649993318783,259.5744955681261,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
2993,0,0,2874,2952,2952,2954,2954,2954,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.021,-9.66,0.002,0.034,-0.017,0,0,0.211582827624254,0.800880184562917,0.459,0,-625,-625,256.2338871319763,258.18257538639705,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3030,0,0,2874,2980,2980,2982,2982,2982,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,-0.114,-9.775,0,-0.01,0.004,0,0,0.2209865088519986,0.800880184562917,0.467,0,-625,-625,254.70277493207425,256.7906552046679,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3061,0,0,2874,3008,3008,2997,2997,2997,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-0.143,-9.826,0.008,-0.087,-0.098,0,0,0.22960654997743118,0.800880184562917,0.466,0,-625,-625,253.589238786691,256.51227116832206,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3085,0,0,3032,3043,3043,3050,3050,3050,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-0.265,-9.826,-0.053,-0.017,-0.072,0,0,0.2013955062941973,0.800880184562917,0.442,0,-625,-625,254.70277493207425,257.4866152955325,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3112,0,0,3032,3063,3063,3050,3050,3050,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014,-0.258,-9.811,-0.066,0.038,-0.102,0,0,0.2013955062941973,0.800880184562917,0.442,0,-625,-625,254.70277493207425,257.4866152955325,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3316,0,0,3032,3101,3101,3101,3101,3101,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-0.287,-9.833,0.031,-0.049,-0.051,0,0,0.20531370680575758,0.800880184562917,0.438,0,-625,-625,255.25954300476587,257.7649993318783,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
3340,0,0,3032,3305,3305,3305,3305,3305,0,0,0,0,0,0,0,0,2020-08-02T00:00:02.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071,-0.201,-9.761,0.129,0.01,0.034,0,0,0.21471738803350218,0.800880184562917,0.458,0,-625,-625,254.42439089572844,256.7906552046679,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
