write_millis,ecu_millis,breakout_millis,gps_millis,imu_millis,accel_millis,analogx1_millis,analogx2_millis,analogx3_millis,thermo_millis,rpm,time,syncloss_count,syncloss_code,lat,lon,elev,unixtime,ground_speed,afr,fuelload,spark_advance,baro,map,mat,clnt_temp,tps,batt,oil_press,ltcl_timing,ve1,ve2,egt,maf,in_temp,ax,ay,az,imu_x,imu_y,imu_z,susp_pot_1_FL,susp_pot_2_FR,susp_pot_4_RL,susp_pot_3_RR,oil_temp,amb_air_temp,brake1,brake2,rad_in,rad_out,steering,thermo_1,thermo_2,thermo_3,thermo_4
1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
1754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01T00:00:00.000Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-625,-625,307.87412587412587,307.87412587412587,0,307.87412587412587,307.87412587412587,307.87412587412587,307.87412587412587
